team_id	year	team_wins	team_loss	team_points	ratio	salaryTot	salaryAvg	salaryAvgFormat	salaryTotFormat
TOR	2006	47	35	8157	0.573	42223168	2814877	$ 2,814,877	$ 42,223,168
UTA	2006	51	31	8322	0.622	60325348	4640411	$ 4,640,411	$ 60,325,348
WAS	2006	41	41	8556	0.5	61853822	4123588	$ 4,123,588	$ 61,853,822
ATL	2007	37	45	8054	0.451	58531493	3902099	$ 3,902,099	$ 58,531,493
BOS	2007	66	16	8245	0.805	73812248	5272303	$ 5,272,303	$ 73,812,248
CHI	2007	33	49	7981	0.402	62413599	3900849	$ 3,900,849	$ 62,413,599
CHR	2007	32	50	7959	0.39	51725077	3232817	$ 3,232,817	$ 51,725,077
CLE	2007	45	37	7903	0.549	79043364	5269557	$ 5,269,557	$ 79,043,364
DAL	2007	51	31	8234	0.622	87825870	4622414	$ 4,622,414	$ 87,825,870
DEN	2007	50	32	9074	0.61	81177202	5411813	$ 5,411,813	$ 81,177,202
DET	2007	59	23	7992	0.72	66561030	4754359	$ 4,754,359	$ 66,561,030
GSW	2007	48	34	9105	0.585	74239480	4124415	$ 4,124,415	$ 74,239,480
HOU	2007	55	27	7931	0.671	77637117	4086164	$ 4,086,164	$ 77,637,117
IND	2007	36	46	8527	0.439	66879374	4179960	$ 4,179,960	$ 66,879,374
LAC	2007	23	59	7692	0.28	63202582	3717798	$ 3,717,798	$ 63,202,582
LAL	2007	57	25	8904	0.695	69978984	4998498	$ 4,998,498	$ 69,978,984
MEM	2007	22	60	8257	0.268	54472106	3890864	$ 3,890,864	$ 54,472,106
MIA	2007	15	67	7491	0.183	74736115	4671007	$ 4,671,007	$ 74,736,115
MIL	2007	26	56	7956	0.317	62317859	4154523	$ 4,154,523	$ 62,317,859
MIN	2007	22	60	7839	0.268	51128758	3007574	$ 3,007,574	$ 51,128,758
NJN	2007	34	48	7857	0.415	66609387	5123799	$ 5,123,799	$ 66,609,387
NOH	2007	56	26	8270	0.683	60331047	3770690	$ 3,770,690	$ 60,331,047
NYK	2007	23	59	7948	0.28	92817398	5801087	$ 5,801,087	$ 92,817,398
ORL	2007	52	30	8567	0.634	61841463	4122764	$ 4,122,764	$ 61,841,463
PHI	2007	40	42	7923	0.488	57777929	3398701	$ 3,398,701	$ 57,777,929
PHO	2007	55	27	9026	0.671	71227313	5087665	$ 5,087,665	$ 71,227,313
POR	2007	41	41	7820	0.5	57200851	3813390	$ 3,813,390	$ 57,200,851
SAC	2007	38	44	8408	0.463	50531216	3158201	$ 3,158,201	$ 50,531,216
SAS	2007	56	26	7820	0.683	72459350	5175667	$ 5,175,667	$ 72,459,350
TOR	2007	41	41	8215	0.5	63762305	3985144	$ 3,985,144	$ 63,762,305
UTA	2007	54	28	8710	0.659	54683522	4206424	$ 4,206,424	$ 54,683,522
WAS	2007	43	39	8104	0.524	61133847	5094487	$ 5,094,487	$ 61,133,847
ATL	2008	47	35	8046	0.573	68607953	4287997	$ 4,287,997	$ 68,607,953
BOS	2008	62	20	8275	0.756	78738973	6056844	$ 6,056,844	$ 78,738,973
CHI	2008	41	41	8378	0.5	71400091	4760006	$ 4,760,006	$ 71,400,091
CHR	2008	35	47	7677	0.427	68004277	4250267	$ 4,250,267	$ 68,004,277
CLE	2008	66	16	8223	0.805	90794387	6052959	$ 6,052,959	$ 90,794,387
DAL	2008	50	32	8343	0.61	92503500	6166900	$ 6,166,900	$ 92,503,500
DEN	2008	54	28	8555	0.659	67068631	5159125	$ 5,159,125	$ 67,068,631
DET	2008	39	43	7727	0.476	77046985	5926691	$ 5,926,691	$ 77,046,985
GSW	2008	29	53	8905	0.354	64549630	3227481	$ 3,227,481	$ 64,549,630
HOU	2008	53	29	8070	0.646	69577785	4638519	$ 4,638,519	$ 69,577,785
IND	2008	36	46	8617	0.439	69623798	4351487	$ 4,351,487	$ 69,623,798
LAC	2008	19	63	7799	0.232	61883344	3437963	$ 3,437,963	$ 61,883,344
LAL	2008	65	17	8768	0.793	80745793	5383052	$ 5,383,052	$ 80,745,793
MEM	2008	24	58	7698	0.293	66460021	4430668	$ 4,430,668	$ 66,460,021
MIA	2008	43	39	8061	0.524	54346083	3019226	$ 3,019,226	$ 54,346,083
MIL	2008	34	48	8142	0.415	70220238	4681349	$ 4,681,349	$ 70,220,238
MIN	2008	24	58	8019	0.293	63525735	3970358	$ 3,970,358	$ 63,525,735
NJN	2008	34	48	8044	0.415	62425445	3901590	$ 3,901,590	$ 62,425,445
NOH	2008	49	33	7857	0.598	67017804	4786986	$ 4,786,986	$ 67,017,804
NYK	2008	32	50	8627	0.39	97085751	6472383	$ 6,472,383	$ 97,085,751
OKC	2008	23	59	7952	0.28	61567564	3240398	$ 3,240,398	$ 61,567,564
ORL	2008	59	23	8286	0.72	69117198	4936942	$ 4,936,942	$ 69,117,198
PHI	2008	41	41	7987	0.5	72861445	5204388	$ 5,204,388	$ 72,861,445
PHO	2008	46	36	8974	0.561	75449279	5389234	$ 5,389,234	$ 75,449,279
POR	2008	54	28	8153	0.659	56154803	3743653	$ 3,743,653	$ 56,154,803
SAC	2008	17	65	8248	0.207	71075103	4738340	$ 4,738,340	$ 71,075,103
SAS	2008	54	28	7958	0.659	68403480	3800193	$ 3,800,193	$ 68,403,480
TOR	2008	33	49	8121	0.402	95358923	5609348	$ 5,609,348	$ 95,358,923
UTA	2008	48	34	8492	0.585	66266407	4417760	$ 4,417,760	$ 66,266,407
WAS	2008	19	63	7877	0.232	69176589	4941184	$ 4,941,184	$ 69,176,589
ATL	2009	53	29	8338	0.646	70198210	4129306	$ 4,129,306	$ 70,198,210
BOS	2009	50	32	8136	0.61	84815811	4989165	$ 4,989,165	$ 84,815,811
CHI	2009	41	41	7993	0.5	78469779	3566808	$ 3,566,808	$ 78,469,779
CHR	2009	44	38	7813	0.537	73084292	3846541	$ 3,846,541	$ 73,084,292
CLE	2009	61	21	8373	0.744	116902727	5082727	$ 5,082,727	$ 116,902,727
DAL	2009	55	27	8364	0.671	88312340	5887489	$ 5,887,489	$ 88,312,340
DEN	2009	53	29	8729	0.646	75580222	4723763	$ 4,723,763	$ 75,580,222
DET	2009	27	55	7709	0.329	62757140	3922321	$ 3,922,321	$ 62,757,140
GSW	2009	26	56	8922	0.317	70639719	2716912	$ 2,716,912	$ 70,639,719
HOU	2009	42	40	8395	0.512	92713977	3863082	$ 3,863,082	$ 92,713,977
IND	2009	32	50	8263	0.39	70516057	3917558	$ 3,917,558	$ 70,516,057
LAC	2009	29	53	7849	0.354	32158856	2473758	$ 2,473,758	$ 32,158,856
LAL	2009	57	25	8339	0.695	77203679	5938744	$ 5,938,744	$ 77,203,679
MEM	2009	40	42	8404	0.488	83230241	4623902	$ 4,623,902	$ 83,230,241
MIA	2009	47	35	7914	0.573	77135159	4059745	$ 4,059,745	$ 77,135,159
MIL	2009	46	36	8009	0.561	76227006	3811350	$ 3,811,350	$ 76,227,006
MIN	2009	15	67	8051	0.183	77455197	3367617	$ 3,367,617	$ 77,455,197
NJN	2009	12	70	7575	0.146	66383879	3493888	$ 3,493,888	$ 66,383,879
NOH	2009	37	45	8220	0.451	74250064	4950004	$ 4,950,004	$ 74,250,064
NYK	2009	29	53	8373	0.354	114338560	5716928	$ 5,716,928	$ 114,338,560
OKC	2009	50	32	8322	0.61	66171801	2450807	$ 2,450,807	$ 66,171,801
ORL	2009	59	23	8426	0.72	82329491	5880677	$ 5,880,677	$ 82,329,491
PHI	2009	27	55	8014	0.329	69926347	4113314	$ 4,113,314	$ 69,926,347
PHO	2009	54	28	9039	0.659	79428800	4412711	$ 4,412,711	$ 79,428,800
POR	2009	50	32	8045	0.61	84469848	3839538	$ 3,839,538	$ 84,469,848
SAC	2009	25	57	8200	0.305	61120985	3216893	$ 3,216,893	$ 61,120,985
SAS	2009	50	32	8312	0.61	77276044	3359828	$ 3,359,828	$ 77,276,044
TOR	2009	40	42	8534	0.488	75601958	3600093	$ 3,600,093	$ 75,601,958
UTA	2009	53	29	8547	0.646	75213100	5014206	$ 5,014,206	$ 75,213,100
WAS	2009	26	56	7892	0.317	63456429	3339812	$ 3,339,812	$ 63,456,429
