TEAM;TOTAL;AVG;MEDIAN;STD;YEAR;ID
Indiana Pacers;$ 133,133,540;$ 5,120,520;$ 4,750,000;$ 4,185,189;2005;IND
Indiana Pacers;$ 75,432,752;$ 4,437,220;$ 4,500,000;$ 4,004,411;2004;IND
Indiana Pacers;$ 75,432,752;$ 4,437,220;$ 4,500,000;$ 4,004,411;2003;IND
Indiana Pacers;$ 53,472,323;$ 3,819,451;$ 2,565,802;$ 3,415,580;2002;IND
Indiana Pacers;$ 47,211,121;$ 3,372,222;$ 1,211,691;$ 3,987,293;2001;IND
Los Angeles Clippers;$ 53,819,482;$ 3,587,965;$ 2,400,000;$ 3,772,607;2010;LAC
Los Angeles Clippers;$ 32,158,856;$ 2,473,758;$ 797,581;$ 3,591,271;2009;LAC
Los Angeles Clippers;$ 61,883,344;$ 3,437,963;$ 1,148,517;$ 4,515,592;2008;LAC
Los Angeles Clippers;$ 63,202,582;$ 3,717,798;$ 1,652,280;$ 4,210,370;2007;LAC
Los Angeles Clippers;$ 58,202,032;$ 3,880,135;$ 3,240,000;$ 3,886,609;2006;LAC
Los Angeles Clippers;$ 102,565,580;$ 3,418,852;$ 2,750,000;$ 3,460,332;2005;LAC
Los Angeles Clippers;$ 46,518,542;$ 3,101,236;$ 2,100,000;$ 3,561,284;2004;LAC
Los Angeles Clippers;$ 46,518,542;$ 3,101,236;$ 2,100,000;$ 3,561,284;2003;LAC
Los Angeles Clippers;$ 36,027,564;$ 2,401,837;$ 1,922,520;$ 1,492,035;2002;LAC
Los Angeles Clippers;$ 26,393,932;$ 2,030,302;$ 1,654,320;$ 1,375,021;2001;LAC
Los Angeles Lakers;$ 90,025,159;$ 6,925,012;$ 4,000,000;$ 7,482,505;2010;LAL
Los Angeles Lakers;$ 77,203,679;$ 5,938,744;$ 4,159,200;$ 6,573,957;2009;LAL
Los Angeles Lakers;$ 80,745,793;$ 5,383,052;$ 3,100,000;$ 6,280,596;2008;LAL
Los Angeles Lakers;$ 69,978,984;$ 4,998,498;$ 3,000,000;$ 5,486,906;2007;LAL
Los Angeles Lakers;$ 60,631,869;$ 4,330,847;$ 1,923,710;$ 5,106,775;2006;LAL
Los Angeles Lakers;$ 108,431,668;$ 3,614,388;$ 1,250,000;$ 4,556,066;2005;LAL
Los Angeles Lakers;$ 65,138,976;$ 4,342,598;$ 3,000,000;$ 4,601,658;2004;LAL
Los Angeles Lakers;$ 65,138,976;$ 4,342,598;$ 3,000,000;$ 4,601,658;2003;LAL
Los Angeles Lakers;$ 62,577,317;$ 4,813,639;$ 3,000,000;$ 6,465,494;2002;LAL
Los Angeles Lakers;$ 52,985,249;$ 3,784,660;$ 1,117,125;$ 5,873,805;2001;LAL
Memphis Grizzlies;$ 59,662,924;$ 4,589,455;$ 3,000,000;$ 5,100,977;2010;MEM
Memphis Grizzlies;$ 83,230,241;$ 4,623,902;$ 3,310,898;$ 5,137,811;2009;MEM
